,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,default
50,29,male,1,own,,moderate,2333,24,furniture/equipment,no
51,30,male,3,own,little,moderate,5965,27,car,no
52,25,male,2,own,little,,1262,12,radio/TV,no
53,31,male,2,own,,,3378,18,car,yes
54,57,male,2,free,little,moderate,2225,36,car,yes
55,26,male,1,own,,,783,6,car,yes
56,52,male,3,own,,moderate,6468,12,radio/TV,no
57,31,female,2,own,little,,9566,36,radio/TV,no
58,23,female,3,own,little,rich,1961,18,car,no
59,23,female,1,rent,little,little,6229,36,furniture/equipment,yes
60,27,male,2,own,little,moderate,1391,9,business,no
61,50,male,2,own,,moderate,1537,15,radio/TV,no
62,61,male,3,free,little,moderate,1953,36,business,yes
63,25,male,2,own,little,moderate,14421,48,business,no
64,26,female,2,own,little,,3181,24,radio/TV,no
65,48,male,2,own,,,5190,27,repairs,yes
66,29,female,2,own,little,,2171,12,radio/TV,no
67,22,male,2,own,rich,moderate,1007,12,car,yes
68,37,male,2,free,little,,1819,36,education,yes
69,25,female,2,own,,,2394,36,radio/TV,yes
70,30,female,2,own,little,,8133,36,car,no
71,46,male,1,rent,,,730,7,radio/TV,no
72,51,male,3,free,little,little,1164,8,vacation/others,no
73,41,female,1,own,little,moderate,5954,42,business,no
74,40,male,3,own,,little,1977,36,education,no
75,66,male,3,free,little,little,1526,12,car,no
76,34,male,2,own,little,little,3965,42,radio/TV,no
77,51,male,2,own,little,moderate,4771,11,radio/TV,yes
78,39,male,1,own,,,9436,54,car,no
79,22,male,2,own,little,moderate,3832,30,furniture/equipment,no
80,44,female,2,own,,,5943,24,radio/TV,no
81,47,male,2,own,quite rich,,1213,15,radio/TV,no
82,24,female,1,rent,moderate,,1568,18,business,yes
83,58,female,1,own,little,little,1755,24,vacation/others,yes
84,52,male,1,own,little,little,2315,10,radio/TV,no
85,29,female,3,own,little,,1412,12,business,no
86,27,female,2,own,little,moderate,1295,18,furniture/equipment,no
87,47,male,2,free,moderate,moderate,12612,36,education,no
88,30,male,3,own,moderate,little,2249,18,car,yes
89,28,male,2,own,little,little,1108,12,repairs,no
90,56,male,2,own,little,,618,12,radio/TV,no
91,54,male,2,own,little,little,1409,12,car,no
92,33,female,1,own,,,797,12,radio/TV,no
93,20,male,2,rent,,rich,3617,24,furniture/equipment,yes
94,54,male,2,own,rich,moderate,1318,12,car,yes
95,58,male,2,rent,little,moderate,15945,54,business,no
96,61,female,2,own,,,2012,12,education,no
97,34,male,2,own,moderate,moderate,2622,18,business,yes
98,36,male,2,own,little,moderate,2337,36,radio/TV,no
99,36,male,3,rent,,moderate,7057,20,car,no
100,41,male,1,rent,moderate,,1469,24,car,no
101,24,male,2,rent,little,moderate,2323,36,radio/TV,no
102,24,female,2,own,little,,932,6,radio/TV,no
103,35,male,2,rent,little,moderate,1919,9,furniture/equipment,yes
104,26,male,2,rent,,,2445,12,car,no
105,39,male,3,own,little,moderate,11938,24,vacation/others,yes
106,39,male,3,own,little,,6458,18,car,no
107,32,male,2,own,little,moderate,6078,12,car,no
108,30,female,2,own,,little,7721,24,furniture/equipment,no
109,35,male,2,own,quite rich,moderate,1410,14,business,no
110,31,male,2,own,moderate,moderate,1449,6,business,no
111,23,female,2,rent,little,rich,392,15,education,no
112,28,male,1,rent,little,moderate,6260,18,car,no
113,25,female,2,own,little,,7855,36,car,no
114,35,male,2,own,quite rich,little,1680,12,radio/TV,no
115,47,male,2,own,,,3578,48,radio/TV,no
116,30,female,3,own,,little,7174,42,radio/TV,no
117,27,female,2,rent,,little,2132,10,furniture/equipment,no
118,23,female,2,own,quite rich,little,4281,33,furniture/equipment,yes
119,36,male,3,own,quite rich,moderate,2366,12,car,yes
120,25,female,2,own,little,little,1835,21,radio/TV,yes
121,41,female,3,rent,little,,3868,24,car,no
122,24,male,1,rent,little,,1768,12,furniture/equipment,no
123,63,male,2,free,little,rich,781,10,car,no
124,27,female,2,rent,,moderate,1924,18,furniture/equipment,no
125,30,male,2,own,little,little,2121,12,car,yes
126,40,male,1,own,little,little,701,12,radio/TV,no
127,30,male,2,own,little,moderate,639,12,repairs,no
128,34,male,3,own,little,moderate,1860,12,car,yes
129,29,female,2,own,little,little,3499,12,car,no
130,24,female,2,own,,moderate,8487,48,car,no
131,29,male,2,own,little,little,6887,36,education,yes
132,27,male,1,own,little,,2708,15,furniture/equipment,no
133,47,male,2,free,little,,1984,18,furniture/equipment,no
134,21,female,2,own,moderate,,10144,60,radio/TV,no
135,38,female,2,own,,,1240,12,radio/TV,yes
136,27,male,2,own,rich,,8613,27,car,no
137,66,male,1,own,quite rich,moderate,766,12,radio/TV,no
138,35,male,2,own,,moderate,2728,15,radio/TV,yes
139,44,female,1,rent,little,rich,1881,12,radio/TV,no
140,27,male,0,own,rich,rich,709,6,car,no
141,30,female,3,own,little,moderate,4795,36,radio/TV,yes
142,27,male,3,own,little,little,3416,27,radio/TV,no
143,22,male,2,own,little,little,2462,18,furniture/equipment,no
144,23,female,2,own,little,,2288,21,furniture/equipment,no
145,30,male,2,own,moderate,moderate,3566,48,business,no
146,39,female,2,own,little,little,860,6,car,no
147,51,female,2,own,moderate,,682,12,car,yes
148,28,male,2,own,little,little,5371,36,furniture/equipment,yes
149,46,male,2,own,rich,,1582,18,radio/TV,no
150,42,male,2,free,moderate,,1346,6,radio/TV,no
151,38,male,2,own,little,,1924,10,radio/TV,yes
152,24,male,2,own,little,rich,5848,36,radio/TV,yes
153,29,female,2,rent,rich,moderate,7758,24,car,yes
154,36,male,3,rent,moderate,moderate,6967,24,business,no
155,20,female,2,rent,little,little,1282,12,furniture/equipment,no
156,48,male,2,own,moderate,little,1288,9,repairs,no
157,45,male,1,own,little,little,339,12,education,no
158,38,male,2,own,moderate,moderate,3512,24,car,yes
159,34,male,1,own,,,1898,6,radio/TV,no
160,36,male,2,own,moderate,,2872,24,radio/TV,yes
161,30,female,2,own,little,,1055,18,car,no
162,36,male,2,own,quite rich,,1262,15,domestic appliances,no
163,70,male,3,free,little,moderate,7308,10,car,no
164,36,male,2,own,quite rich,,909,36,car,no
165,32,male,2,own,quite rich,,2978,6,furniture/equipment,no
166,33,female,2,own,little,little,1131,18,furniture/equipment,yes
167,20,female,2,own,rich,moderate,1577,11,furniture/equipment,no
168,25,female,2,rent,little,,3972,24,furniture/equipment,no
169,31,male,2,own,little,moderate,1935,24,business,yes
170,33,male,2,rent,little,little,950,15,car,no
171,26,female,2,own,little,,763,12,furniture/equipment,no
172,34,female,3,own,little,moderate,2064,24,furniture/equipment,no
173,33,male,2,own,little,moderate,1414,8,radio/TV,no
174,26,male,2,own,little,little,3414,21,education,yes
175,53,female,3,own,,,7485,30,car,no
176,42,male,2,own,little,little,2577,12,furniture/equipment,yes
177,52,male,2,own,quite rich,little,338,6,radio/TV,no
178,31,male,3,rent,little,,1963,12,radio/TV,yes
179,65,male,2,own,little,little,571,21,car,no
180,28,male,2,own,little,,9572,36,business,no
181,30,male,3,own,little,moderate,4455,36,business,yes
182,40,male,1,own,,little,1647,21,car,no
183,50,male,2,own,rich,,3777,24,furniture/equipment,no
184,36,male,2,own,little,moderate,884,18,car,no
185,31,male,2,own,little,,1360,15,radio/TV,yes
186,74,female,3,free,little,moderate,5129,9,car,no
187,68,male,0,free,little,moderate,1175,16,car,no
188,20,male,2,own,moderate,little,674,12,radio/TV,yes
189,33,female,2,own,little,moderate,3244,18,furniture/equipment,no
190,54,male,3,own,rich,,4591,24,business,no
191,34,male,1,free,moderate,moderate,3844,48,business,no
192,36,male,2,own,little,moderate,3915,27,business,yes
193,29,male,2,rent,little,,2108,6,radio/TV,no
194,21,male,2,rent,moderate,moderate,3031,45,radio/TV,yes
195,34,female,3,own,little,moderate,1501,9,education,no
196,28,female,2,own,little,,1382,6,radio/TV,no
197,27,female,2,rent,moderate,moderate,951,12,furniture/equipment,no
198,36,male,2,free,,moderate,2760,24,car,no
199,40,male,3,own,little,moderate,4297,18,furniture/equipment,no
200,52,male,2,own,quite rich,,936,9,education,yes
201,27,male,1,own,little,little,1168,12,car,yes
202,26,male,2,own,little,,5117,27,business,no
203,21,male,2,rent,little,little,902,12,education,no
204,38,male,1,own,little,,1495,12,car,no
205,38,male,3,free,little,little,10623,30,car,no
206,43,male,2,own,little,,1935,12,furniture/equipment,no
207,26,male,2,own,little,moderate,1424,12,domestic appliances,no
208,21,male,1,own,little,little,6568,24,business,no
209,55,male,2,own,rich,,1413,12,car,no
210,33,male,2,own,,,3074,9,radio/TV,yes
211,45,female,1,own,,,3835,36,radio/TV,no
212,50,male,2,own,little,little,5293,27,business,no
213,66,male,3,own,little,rich,1908,30,business,no
214,51,male,2,own,,,3342,36,radio/TV,no
215,39,female,1,own,,moderate,932,6,education,no
216,31,male,2,own,little,little,3104,18,business,no
217,23,male,2,own,little,rich,3913,36,radio/TV,no
218,24,male,1,rent,little,little,3021,24,furniture/equipment,no
219,64,female,2,own,little,,1364,10,car,yes
220,26,male,1,own,little,moderate,625,12,radio/TV,yes
221,23,female,2,rent,,little,1200,12,education,no
222,30,male,2,own,little,,707,12,radio/TV,no
223,32,male,2,own,,,2978,24,business,no
224,30,male,2,own,little,,4657,15,car,no
225,27,male,2,own,little,,2613,36,repairs,yes
226,27,male,2,own,rich,moderate,10961,48,radio/TV,no
227,53,male,3,free,little,little,7865,12,furniture/equipment,no
228,22,male,2,own,little,,1478,9,radio/TV,yes
229,22,male,2,free,little,little,3149,24,furniture/equipment,yes
230,26,male,2,own,little,rich,4210,36,radio/TV,no
231,51,male,1,free,quite rich,,2507,9,car,no
232,35,male,2,own,moderate,,2141,12,radio/TV,no
233,25,male,1,own,little,moderate,866,18,radio/TV,yes
234,42,male,1,own,little,,1544,4,radio/TV,no
235,30,male,3,own,little,little,1823,24,radio/TV,yes
236,23,male,0,own,,moderate,14555,6,car,no
237,61,male,1,rent,moderate,moderate,2767,21,business,no
238,35,female,2,own,little,,1291,12,radio/TV,yes
239,39,male,2,own,little,little,2522,30,radio/TV,yes
240,29,female,2,own,,little,915,24,car,no
241,51,male,2,own,little,,1595,6,radio/TV,no
242,24,male,2,free,little,little,4605,48,car,no
243,27,female,2,own,little,,1185,12,business,no
244,35,female,1,own,quite rich,,3447,12,education,no
245,25,male,2,own,little,,1258,24,business,yes
246,52,male,2,own,little,,717,12,radio/TV,no
247,35,male,2,rent,moderate,,1204,6,car,no
248,26,male,2,own,little,rich,1925,24,furniture/equipment,no
249,22,female,2,rent,little,,433,18,radio/TV,yes
250,39,female,1,own,rich,little,666,6,car,no
251,46,female,1,own,little,rich,2251,12,furniture/equipment,no
252,24,female,2,own,little,moderate,2150,30,car,no
253,35,male,2,own,moderate,,4151,24,furniture/equipment,yes
254,24,male,2,own,,moderate,2030,9,furniture/equipment,no
255,27,male,1,own,,moderate,7418,60,radio/TV,yes
256,35,male,1,own,little,,2684,24,radio/TV,yes
257,29,male,2,free,little,little,2149,12,radio/TV,no
258,23,female,2,own,moderate,,3812,15,car,no
259,57,female,1,own,moderate,,1154,11,radio/TV,yes
260,27,male,2,own,little,little,1657,12,furniture/equipment,no
261,55,female,2,own,little,little,1603,24,radio/TV,no
262,36,male,3,free,little,little,5302,18,car,no
263,57,female,1,free,little,,2748,12,education,no
264,32,male,1,own,little,,1231,10,car,yes
265,37,male,2,own,little,moderate,802,15,radio/TV,no
266,36,male,2,own,,,6304,36,business,no
267,38,female,2,own,little,,1533,24,radio/TV,no
268,45,male,3,own,little,little,8978,14,car,yes
269,25,male,2,own,,,999,24,radio/TV,no
270,32,male,2,own,,,2662,18,car,no
271,37,female,2,rent,quite rich,,1402,12,furniture/equipment,no
272,36,male,3,free,,moderate,12169,48,car,yes
273,28,male,2,own,little,moderate,3060,48,radio/TV,no
274,34,male,1,own,little,little,11998,30,repairs,no
275,32,male,2,own,little,,2697,9,radio/TV,no
276,26,female,2,own,little,,2404,18,radio/TV,yes
277,49,male,1,own,,little,1262,12,furniture/equipment,no
278,32,female,2,own,little,,4611,6,furniture/equipment,no
279,29,male,3,rent,moderate,,1901,24,radio/TV,no
280,23,male,2,rent,rich,,3368,15,car,yes
281,50,male,2,own,little,,1574,12,furniture/equipment,yes
282,49,male,1,own,,rich,1445,18,radio/TV,no
283,63,male,2,own,,,1520,15,furniture/equipment,no
284,37,male,2,own,moderate,moderate,3878,24,car,yes
285,35,female,1,own,little,little,10722,47,car,no
286,26,male,2,own,little,little,4788,48,car,yes
287,31,male,3,free,moderate,moderate,7582,48,vacation/others,no
288,49,female,2,own,little,moderate,1092,12,radio/TV,yes
289,48,male,2,own,little,little,1024,24,radio/TV,no
290,26,male,2,own,little,,1076,12,business,yes
291,28,male,3,rent,little,moderate,9398,36,car,yes
292,44,female,3,free,little,little,6419,24,car,yes
293,56,male,2,free,little,rich,4796,42,car,no
294,46,male,3,own,,,7629,48,business,yes
295,26,female,2,own,little,moderate,9960,48,furniture/equipment,no
296,20,female,2,rent,,,4675,12,car,no
297,45,male,1,own,,,1287,10,car,no
298,43,male,2,own,little,,2515,18,furniture/equipment,no
299,32,male,2,own,rich,moderate,2745,21,furniture/equipment,no
300,54,female,0,own,little,,672,6,car,no
301,42,female,2,own,little,moderate,3804,36,radio/TV,no
302,37,male,1,own,,rich,1344,24,car,yes
303,49,male,2,own,little,little,1038,10,car,no
304,44,male,2,free,quite rich,,10127,48,car,no
305,33,male,2,own,rich,,1543,6,furniture/equipment,no
306,24,female,1,rent,,,4811,30,car,no
307,33,male,1,own,moderate,little,727,12,radio/TV,yes
308,24,female,2,own,little,moderate,1237,8,furniture/equipment,no
309,22,male,1,rent,little,moderate,276,9,car,yes
310,40,male,0,free,,moderate,5381,48,vacation/others,no
311,25,male,2,own,moderate,,5511,24,furniture/equipment,no
312,26,female,2,own,little,rich,3749,24,furniture/equipment,no
313,25,male,1,own,little,moderate,685,12,car,no
314,29,male,1,own,,rich,1494,4,car,yes
315,31,male,2,own,little,little,2746,36,furniture/equipment,no
316,38,male,1,own,little,little,708,12,furniture/equipment,no
317,48,female,1,own,,moderate,4351,24,furniture/equipment,yes
318,32,male,2,own,little,,701,12,education,no
319,27,female,1,own,little,little,3643,15,furniture/equipment,no
320,28,male,3,own,little,moderate,4249,30,car,no
321,32,male,2,own,little,little,1938,24,radio/TV,no
322,34,male,3,free,little,little,2910,24,car,no
323,28,male,2,own,rich,little,2659,18,furniture/equipment,no
324,36,female,2,own,little,,1028,18,car,no
325,39,male,1,own,little,little,3398,8,car,no
326,49,male,2,rent,,,5801,12,furniture/equipment,no
327,34,female,2,own,rich,,1525,24,car,yes
328,31,male,2,own,little,rich,4473,36,radio/TV,yes
329,28,male,2,own,little,moderate,1068,6,radio/TV,no
330,75,male,3,free,little,little,6615,24,car,no
331,30,female,2,own,moderate,,1864,18,education,yes
332,24,female,3,own,moderate,moderate,7408,60,car,yes
333,24,female,1,rent,moderate,,11590,48,car,yes
334,23,male,2,rent,little,little,4110,24,furniture/equipment,yes
335,44,male,3,rent,little,little,3384,6,furniture/equipment,no
336,23,female,1,own,little,moderate,2101,13,radio/TV,no
337,24,female,2,rent,,little,1275,15,domestic appliances,no
338,28,male,2,own,little,little,4169,24,furniture/equipment,yes
339,31,male,1,own,little,moderate,1521,10,furniture/equipment,yes
340,24,female,2,free,little,moderate,5743,24,education,no
341,26,female,1,rent,little,little,3599,21,furniture/equipment,yes
342,25,male,2,rent,quite rich,moderate,3213,18,radio/TV,yes
343,33,male,3,own,little,moderate,4439,18,business,no
344,37,male,1,own,little,rich,3949,10,car,yes
345,43,female,1,own,little,,1459,15,radio/TV,no
346,23,male,2,own,little,moderate,882,13,radio/TV,no
347,23,female,0,rent,quite rich,moderate,3758,24,radio/TV,yes
348,34,male,1,own,moderate,,1743,6,business,yes
349,32,male,2,free,rich,moderate,1136,9,education,yes
350,23,female,2,rent,little,,1236,9,domestic appliances,no
351,29,female,2,own,little,moderate,959,9,furniture/equipment,no
352,38,male,3,own,,,3229,18,car,yes
353,28,male,2,rent,little,little,6199,12,radio/TV,no
354,46,male,2,free,quite rich,,727,10,education,no
355,23,male,1,own,little,moderate,1246,24,car,no
356,49,male,2,own,,,2331,12,radio/TV,yes
357,26,male,3,own,little,,4463,36,radio/TV,no
358,28,male,2,own,little,,776,12,radio/TV,yes
359,23,female,2,rent,little,little,2406,30,furniture/equipment,no
360,61,male,2,free,,moderate,1239,18,education,no
361,37,male,3,own,,rich,3399,12,radio/TV,no
362,36,female,2,own,little,rich,2247,12,car,no
363,21,male,2,rent,little,,1766,6,furniture/equipment,no
364,25,male,0,own,little,little,2473,18,furniture/equipment,no
365,36,male,2,own,little,,1542,12,business,yes
366,27,male,2,own,little,,3850,18,car,no
367,22,female,2,rent,little,little,3650,18,furniture/equipment,no
368,42,male,2,own,little,little,3446,36,furniture/equipment,no
369,40,female,2,rent,little,moderate,3001,18,furniture/equipment,yes
370,36,male,2,own,,,3079,36,car,no
371,33,male,2,own,little,,6070,18,radio/TV,no
372,23,female,2,rent,little,,2146,10,furniture/equipment,no
373,63,male,3,free,,,13756,60,car,no
374,60,female,3,free,moderate,moderate,14782,60,vacation/others,no
375,37,female,2,rent,little,little,7685,48,business,no
376,34,male,2,own,little,,2320,18,radio/TV,yes
377,36,male,2,free,,,846,7,radio/TV,no
378,57,male,3,free,little,moderate,14318,36,car,yes
379,52,female,1,own,moderate,,362,6,car,yes
380,39,male,2,own,,little,2212,20,furniture/equipment,no
381,38,female,3,free,little,moderate,12976,18,car,no
382,25,female,2,rent,,,1283,22,car,yes
383,26,male,2,own,little,rich,1330,12,car,no
384,26,male,1,own,moderate,,4272,30,business,no
385,25,female,2,own,little,,2238,18,radio/TV,no
386,21,female,2,rent,,,1126,18,radio/TV,no
387,40,male,3,own,little,moderate,7374,18,furniture/equipment,no
388,27,male,2,own,quite rich,moderate,2326,15,business,no
389,27,female,2,own,little,,1449,9,business,no
390,30,male,3,own,little,,1820,18,car,no
391,19,female,1,rent,rich,moderate,983,12,furniture/equipment,yes
392,39,male,3,free,little,little,3249,36,car,no
393,31,female,2,own,little,little,1957,6,radio/TV,yes
394,31,male,3,own,little,,2406,9,furniture/equipment,yes
395,32,male,2,rent,moderate,moderate,11760,39,education,no
396,55,female,3,free,little,little,2578,12,furniture/equipment,no
397,46,male,2,own,little,little,2348,36,furniture/equipment,no
398,46,male,2,rent,little,moderate,1223,12,car,no
399,43,female,1,own,rich,,1516,24,radio/TV,no
400,39,male,2,own,little,,1473,18,radio/TV,yes
401,28,male,2,own,,moderate,1887,18,business,no
402,27,male,2,own,little,,8648,24,business,no
403,27,male,1,own,little,,802,14,car,no
404,43,male,2,own,,moderate,2899,18,car,no
405,22,male,2,own,little,moderate,2039,24,radio/TV,no
406,43,male,2,own,,,2197,24,car,no
407,27,male,2,own,little,little,1053,15,radio/TV,no
408,26,male,3,own,quite rich,,3235,24,radio/TV,no
409,28,male,2,own,quite rich,rich,939,12,car,no
410,20,female,2,own,little,moderate,1967,24,radio/TV,no
411,35,male,3,own,little,,7253,33,car,no
412,42,male,3,own,little,,2292,12,business,no
413,40,male,1,rent,quite rich,,1597,10,car,no
414,35,female,2,own,,little,1381,24,car,yes
415,35,male,2,own,little,,5842,36,car,no
416,33,male,1,own,little,little,2579,12,car,yes
417,23,female,2,rent,,little,8471,18,education,yes
418,31,female,3,own,quite rich,,2782,21,car,yes
419,33,female,2,own,,moderate,1042,18,car,no
420,20,female,2,rent,rich,,3186,15,car,no
421,30,male,2,own,,moderate,2028,12,car,no
422,47,male,1,own,little,moderate,958,12,car,no
423,34,male,3,own,moderate,,1591,21,furniture/equipment,no
424,25,female,2,own,,moderate,2762,12,furniture/equipment,no
425,21,male,2,rent,little,moderate,2779,18,car,no
426,29,male,2,own,little,,2743,28,radio/TV,no
427,46,male,2,own,rich,,1149,18,radio/TV,yes
428,20,male,2,own,little,,1313,9,furniture/equipment,yes
429,55,female,0,free,little,little,1190,18,repairs,no
430,74,male,1,own,little,,3448,5,business,no
431,29,male,3,own,little,moderate,11328,24,vacation/others,no
432,36,male,3,free,little,little,1872,6,furniture/equipment,no
433,33,male,2,own,little,,2058,24,repairs,no
434,25,male,2,own,little,little,2136,9,furniture/equipment,no
435,25,male,2,own,,moderate,1484,12,radio/TV,yes
436,23,male,1,rent,quite rich,,660,6,repairs,yes
437,37,female,2,own,rich,,1287,24,car,no
438,65,male,0,own,little,little,3394,42,repairs,no
439,26,female,0,own,little,rich,609,12,business,no
440,39,male,3,own,little,,1884,12,car,no
441,30,female,2,own,little,little,1620,12,furniture/equipment,no
442,29,male,2,own,little,moderate,2629,20,vacation/others,no
443,41,male,1,own,little,,719,12,education,yes
444,30,female,3,own,little,moderate,5096,48,furniture/equipment,no
445,41,female,1,rent,,,1244,9,education,no
446,34,female,2,own,little,little,1842,36,car,no
447,35,male,2,own,little,moderate,2576,7,radio/TV,no
448,55,female,3,own,,rich,1424,12,furniture/equipment,no
449,61,male,2,own,rich,moderate,1512,15,repairs,yes
450,30,male,3,own,,,11054,36,car,no
451,29,female,2,own,little,,518,6,radio/TV,yes
452,34,male,2,own,little,,2759,12,furniture/equipment,yes
453,35,male,3,own,little,,2670,24,car,no
454,31,male,2,own,little,little,4817,24,car,no
455,29,female,3,own,little,,2679,24,car,yes
456,36,male,2,rent,little,little,3905,11,car,no
457,35,male,2,free,little,little,3386,12,car,yes
458,27,female,2,own,little,little,343,6,domestic appliances,no
459,32,male,2,own,little,,4594,18,radio/TV,no
460,37,male,2,own,little,little,3620,36,furniture/equipment,no
461,36,male,2,own,little,little,1721,15,car,no
462,34,female,3,rent,little,moderate,3017,12,furniture/equipment,no
463,38,male,2,own,,moderate,754,12,education,yes
464,34,male,2,own,little,,1950,18,business,no
465,63,male,2,own,little,little,2924,24,car,no
466,29,female,1,rent,little,little,1659,24,radio/TV,no
467,32,male,2,own,,,7238,48,radio/TV,no
468,26,female,2,own,little,,2764,33,business,no
469,35,male,1,own,little,,4679,24,car,no
470,22,male,2,rent,moderate,moderate,3092,24,radio/TV,yes
471,23,female,2,own,little,little,448,6,education,no
472,28,male,1,own,little,little,654,9,car,no
473,36,male,3,own,,,1238,6,education,no
474,33,male,2,own,little,moderate,1245,18,radio/TV,yes
475,26,female,2,rent,little,little,3114,18,furniture/equipment,yes
476,24,male,2,own,quite rich,,2569,39,car,yes
477,25,male,2,own,little,rich,5152,24,radio/TV,no
478,39,male,1,own,moderate,moderate,1037,12,business,no
479,44,male,2,own,little,little,1478,15,furniture/equipment,yes
480,23,female,1,own,little,moderate,3573,12,radio/TV,yes
481,26,male,2,own,little,moderate,1201,24,car,no
482,57,female,2,rent,rich,little,3622,30,furniture/equipment,no
483,30,female,2,own,rich,,960,15,furniture/equipment,yes
484,44,male,2,own,quite rich,,1163,12,car,yes
485,47,male,3,own,little,moderate,1209,6,car,yes
486,52,male,2,own,little,,3077,12,radio/TV,no
487,62,female,2,free,little,,3757,24,car,no
488,35,male,1,rent,moderate,,1418,10,car,yes
489,26,male,2,rent,little,,3518,6,car,no
490,26,male,2,own,little,,1934,12,radio/TV,no
491,42,female,3,free,little,moderate,8318,27,business,yes
492,27,female,2,own,moderate,,1237,6,radio/TV,no
493,38,male,2,own,,moderate,368,6,radio/TV,no
494,39,male,1,rent,little,little,2122,12,car,yes
495,20,male,2,own,,little,2996,24,furniture/equipment,no
496,29,male,3,rent,moderate,moderate,9034,36,furniture/equipment,no
497,40,male,2,own,little,,1585,24,furniture/equipment,no
498,32,male,1,own,little,moderate,1301,18,radio/TV,no
499,28,male,2,own,moderate,rich,1323,6,car,no
500,27,female,2,own,little,little,3123,24,car,no
501,42,male,2,free,little,little,5493,36,car,no
502,49,male,2,own,moderate,rich,1126,9,radio/TV,yes
503,38,male,2,own,moderate,moderate,1216,24,radio/TV,no
504,24,female,2,rent,little,little,1207,24,car,no
505,27,male,1,own,,,1309,10,car,no
506,36,male,2,own,quite rich,rich,2360,15,car,no
507,34,male,3,own,moderate,moderate,6850,15,car,no
508,28,male,2,own,little,,1413,24,radio/TV,yes
509,45,male,3,own,moderate,,8588,39,car,yes
510,26,male,2,own,little,little,759,12,car,no
511,32,male,3,free,little,,4686,36,car,yes
512,26,male,2,rent,little,rich,2687,15,business,no
513,20,male,2,rent,little,moderate,585,12,radio/TV,no
514,54,male,2,own,,,2255,24,car,no
515,37,female,2,own,little,little,609,6,car,yes
516,40,male,1,own,little,little,1361,6,car,yes
517,23,female,2,rent,little,,7127,36,furniture/equipment,no
518,43,male,2,own,moderate,little,1203,6,car,no
519,36,male,2,free,,,700,6,radio/TV,no
520,44,male,2,free,little,,5507,24,repairs,no
521,24,female,2,own,little,little,3190,18,radio/TV,no
522,53,male,2,free,little,little,7119,48,furniture/equipment,no
523,23,female,2,own,moderate,,3488,24,car,no
524,26,female,1,own,little,moderate,1113,18,radio/TV,no
525,30,male,2,own,little,moderate,7966,26,car,yes
526,31,female,2,own,moderate,,1532,15,education,no
527,42,male,1,own,little,,1503,4,radio/TV,no
528,31,male,2,rent,little,little,2302,36,radio/TV,no
